steered_angle,inner_wheel
0,0
0.017453293,0.004363323
0.034906585,0.008901179
0.052359878,0.013264502
0.06981317,0.017802358
0.087266463,0.022165682
0.104719755,0.026529005
0.122173048,0.031066861
0.13962634,0.035430184
0.157079633,0.039793507
0.174532925,0.04415683
0.191986218,0.048694686
0.20943951,0.053058009
0.226892803,0.057421332
0.244346095,0.061784656
0.261799388,0.066147979
0.27925268,0.070511302
0.296705973,0.074874625
0.314159265,0.079237948
0.331612558,0.083601271
0.34906585,0.088139127
0.366519143,0.09250245
0.383972435,0.096865773
0.401425728,0.101229097
0.41887902,0.10559242
0.436332313,0.109955743
0.453785606,0.114144533
0.471238898,0.118507856
0.488692191,0.122871179
0.506145483,0.127234502
0.523598776,0.131597826
0.541052068,0.135961149
0.558505361,0.140324472
0.575958653,0.144687795
0.593411946,0.149051118
0.610865238,0.153239908
0.628318531,0.157603231
0.645771823,0.161966555
0.663225116,0.166329878
0.680678408,0.170693201
0.698131701,0.175056524
0.715584993,0.179245314
0.733038286,0.183608637
0.750491578,0.18797196
0.767944871,0.192335284
0.785398163,0.196698607
0.802851456,0.200887397
0.820304748,0.20525072
0.837758041,0.209614043
0.855211333,0.213977366
0.872664626,0.218340689
0.890117919,0.22252948
0.907571211,0.226892803
0.925024504,0.231256126
0.942477796,0.235619449
0.959931089,0.239808239
0.977384381,0.244171562
0.994837674,0.248534885
1.012290966,0.252898209
1.029744259,0.257261532
1.047197551,0.261450322
1.064650844,0.265813645
1.082104136,0.270176968
1.099557429,0.274540291
1.117010721,0.278903614
1.134464014,0.283092405
1.151917306,0.287455728
1.169370599,0.291819051
1.186823891,0.296182374
1.204277184,0.300545697
1.221730476,0.30490902
1.239183769,0.309097811
1.256637061,0.313461134
1.274090354,0.317824457
1.291543646,0.32218778
1.308996939,0.326551103
1.326450232,0.330914426
1.343903524,0.335277749
1.361356817,0.339641072
1.378810109,0.344004396
1.396263402,0.348367719
1.413716694,0.352556509
1.431169987,0.356919832
1.448623279,0.361283155
1.466076572,0.365646478
1.483529864,0.370009801
1.500983157,0.374373125
1.518436449,0.378910981
1.535889742,0.383274304
1.553343034,0.387637627
1.570796327,0.39200095
